datetime,portfolio_value,cash,positions,return
2022-10-07 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-08 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-09 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-10 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-11 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-12 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-13 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-14 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-15 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-16 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-17 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-18 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-19 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-20 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-21 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-22 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-23 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-24 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-25 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-26 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-27 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-28 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-29 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-30 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-10-31 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-01 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-02 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-03 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-04 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-05 10:30:00-04:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-06 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-07 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-08 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-09 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-10 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-11 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-12 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-13 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-14 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-15 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-16 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-17 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-18 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-19 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-20 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-21 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-22 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-23 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-24 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-25 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-26 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-27 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-28 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-29 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-11-30 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-01 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-02 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-03 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-04 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-05 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-06 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-07 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-08 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-09 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-10 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-11 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-12 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-13 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-14 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-15 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-16 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-17 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-18 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-19 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-20 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-21 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-22 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-23 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-24 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-25 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-26 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-27 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-28 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-29 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-30 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2022-12-31 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-01 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-02 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-03 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-04 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-05 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
2023-01-06 09:30:00-05:00,-439467.094696045,-439467.094696045,[],0.0
